StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result,
0.025,0.02,0.041,0.012,FALSE,1.917458761,14.48084852
0.026,0.02,0.041,0.012,FALSE,1.894185142,14.45566835
0.025,0,0.041,0.012,FALSE,1.828697138,
0.025,0.01,0.041,0.012,FALSE,1.821614311,
0.025,0.03,0.041,0.012,FALSE,1.811954187,
0.025,0.02,0.041,0.011,FALSE,1.801440834,
0.026,0.02,0.041,0.01,FALSE,1.799347125,
0.026,0.01,0.041,0.012,FALSE,1.797914742,
0.025,0.04,0.041,0.012,FALSE,1.79446539,
0.026,0.03,0.041,0.012,FALSE,1.790488128,
