StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result,
0.024,0.1,0.109,0.017,TRUE,3.515115446,24.69868596
0.023,0.09,0.111,0.017,TRUE,3.503752234,24.63371073
0.023,0.08,0.107,0.017,TRUE,3.462709106,24.34054553
0.023,0.09,0.108,0.017,TRUE,3.448292893,24.23757258
0.023,0.09,0.107,0.017,TRUE,3.435682509,24.14749841
0.023,0.09,0.108,0.016,TRUE,3.433207374,24.13016048
0.023,0.08,0.106,0.017,TRUE,3.42374172,21.26731142
0.024,0.09,0.11,0.017,TRUE,3.413405201,23.97218421
0.024,0.09,0.109,0.017,TRUE,3.409290991,23.942797
0.017,0.04,0.119,0.007,TRUE,3.383377441,23.51214991
