StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result,
0.025,0.03,0.042,0.013,FALSE,1.945118328,14.66251239
0.03,0.04,0.033,0.028,FALSE,1.912747887,14.56763293
0.03,0.03,0.033,0.028,FALSE,1.902547661,14.4891602
0.025,0.04,0.042,0.013,FALSE,1.87474914,14.12120453
0.031,0.07,0.033,0.028,FALSE,1.86573713,
0.03,0.03,0.034,0.028,FALSE,1.85707995,
0.025,0.04,0.04,0.014,FALSE,1.844875475,
0.025,0.05,0.042,0.013,FALSE,1.844015146,
0.025,0.05,0.04,0.014,FALSE,1.838111096,
0.03,0.04,0.033,0.027,FALSE,1.838049357,
