StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,Result,
0.025,0,0.041,0.012,FALSE,1.832748749,13.7980668
0.022,0.03,0.067,0.026,FALSE,1.762541865,
0.022,0.03,0.068,0.026,FALSE,1.762541865,
0.022,0.03,0.066,0.025,FALSE,1.758718939,
0.022,0.03,0.067,0.025,FALSE,1.758718939,
0.022,0.03,0.065,0.023,FALSE,1.748718501,
0.023,0.04,0.066,0.018,FALSE,1.741845109,
0.023,0.04,0.067,0.018,FALSE,1.741845109,
0.023,0.05,0.066,0.018,FALSE,1.736984047,
0.023,0.05,0.067,0.018,FALSE,1.736984047,
0.023,0.01,0.068,0.017,FALSE,1.736686466,
0.023,0.02,0.068,0.017,FALSE,1.733808151,
0.02,0.01,0.067,0.026,FALSE,1.728678984,
0.02,0.01,0.068,0.026,FALSE,1.728678984,
0.02,0.02,0.067,0.026,FALSE,1.725347887,
0.02,0.02,0.068,0.026,FALSE,1.725347887,
