Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,
5/17/2013 0:00,0.019,0.04,0.117,0.025,FALSE,FALSE,FALSE,FALSE,1.148352388,1.148352388,0,
5/27/2013 0:00,0.018,0.04,0.118,0.024,FALSE,FALSE,FALSE,FALSE,1.143192232,1.123035933,-0.020156299,
6/20/2013 0:00,0.011,0,0.157,0.008,FALSE,TRUE,TRUE,TRUE,1.176249626,1.170347268,-0.005902358,
6/21/2013 0:00,0.018,0.04,0.118,0.024,FALSE,FALSE,FALSE,FALSE,1.174136343,1.172062606,-0.002073737,
8/8/2013 0:00,0.011,0,0.157,0.008,FALSE,TRUE,TRUE,TRUE,1.165361467,1.141297694,-0.024063772,
1/27/2014 0:00,0.011,0.02,0.157,0.008,FALSE,TRUE,FALSE,TRUE,1.409143503,1.40197817,-0.007165333,
4/3/2014 0:00,0.024,0,0.148,0.005,TRUE,TRUE,FALSE,FALSE,1.512534818,1.498882377,-0.013652441,
4/18/2014 0:00,0.018,0.15,0.099,0.025,FALSE,TRUE,TRUE,FALSE,1.54011905,1.480083921,-0.060035128,
5/5/2014 0:00,0.011,0.02,0.157,0.008,FALSE,TRUE,FALSE,TRUE,1.567923402,1.55337958,-0.014543821,
5/16/2014 0:00,0.018,0.15,0.099,0.025,FALSE,TRUE,TRUE,FALSE,1.544975725,1.542852558,-0.002123167,
5/26/2014 0:00,0.011,0.02,0.157,0.008,FALSE,TRUE,FALSE,TRUE,1.532434148,1.515195268,-0.01723888,
5/28/2014 0:00,0.018,0.15,0.099,0.025,FALSE,TRUE,TRUE,FALSE,1.518643544,1.507218979,-0.011424565,
5/29/2014 0:00,0.011,0.02,0.157,0.008,FALSE,TRUE,FALSE,TRUE,1.518723027,1.515195268,-0.003527759,
6/5/2014 0:00,0.018,0.15,0.099,0.025,FALSE,TRUE,TRUE,FALSE,1.529850441,1.504236449,-0.025613992,
6/11/2014 0:00,0.011,0.02,0.157,0.008,FALSE,TRUE,FALSE,TRUE,1.525540241,1.508298717,-0.017241524,
9/7/2015 0:00,0.019,0.15,0.1,0.024,FALSE,TRUE,TRUE,FALSE,1.731783962,1.673503742,-0.05828022,
9/8/2015 0:00,0.011,0.02,0.157,0.008,FALSE,TRUE,FALSE,TRUE,1.677968028,1.654034278,-0.02393375,
11/24/2015 0:00,0.011,0.02,0.159,0.02,FALSE,FALSE,FALSE,TRUE,1.790812134,1.765742057,-0.025070077,
