Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Gain,TotalDelta,Profit
01/04/13,0.024,0.02,0.118,0.005,True,True,True,True,1.8639490670050481358251834970,1.8639490670050481358251834970,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000
01/11/13,0.019,0.07,0.116,0.004,True,True,False,True,1.8758087043563180811898680607,1.8466064842942690536480223444,-0.0268625349790497704060685352,0.0118596373512699453646845637,-0.0268625349790497704060685352,-0.0150028976277798250413839715
01/14/13,0.024,0.02,0.118,0.005,True,True,True,True,1.8676843925119851689094951299,1.8561275882626459337060613841,-0.0123127412659390866305891820,0.0037353255069370330843116329,-0.0391752762449888570366577172,-0.0354399507380518239523460843
01/15/13,0.019,0.07,0.116,0.004,True,True,False,True,1.8628540456617490727195142989,1.8604805504628923193897512665,-0.0088047393980549704556282672,-0.0010950213432990631056691981,-0.0479800156430438274922859844,-0.0490750369863428905979551825
01/18/13,0.024,0.02,0.118,0.005,True,True,True,True,1.8671507745824227356117363252,1.8566258443662832032626134519,-0.0050896230335411666504130748,0.0032017075773745997865528282,-0.0530696386765849941426990592,-0.0498679310992103943561462310
01/21/13,0.019,0.07,0.116,0.004,True,True,False,True,1.8658435822835726900588267055,1.8572788428855177196031984383,-0.0067409913316555647470065223,0.0018945152785245542336432085,-0.0598106300082405588897055815,-0.0579161147297160046560623730
01/22/13,0.024,0.02,0.118,0.005,True,True,True,True,1.8631486401107044858785452900,1.8603627651435627249367539601,-0.0045736860169413152232576385,-0.0008004268943436499466382070,-0.0643843160251818741129632200,-0.0651847429195255240596014270
04/15/13,0.024,0.02,0.119,0.005,True,True,True,True,2.0301908039295035368744330913,2.0188886570242580785995542630,-0.0407739154304699488976788708,0.1662417369244554010492495943,-0.1051582314556518230106420908,0.0610835054688035780386075035
04/18/13,0.006,0.07,0.140,0.013,False,True,False,True,1.9960313707073696123419825884,1.9762957365329624897479673561,-0.0206349045541676257574748341,0.1320823037023214765167990914,-0.1257931360098194487681169249,0.0062891676925020277486821665
05/02/13,0.024,0.02,0.119,0.005,True,True,True,True,1.9841372356650314236618903954,1.9675207453253075617137231549,-0.0169170521671381824910496729,0.1201881686599832878367068984,-0.1427101881769576312591665978,-0.0225220195169743434224596994
05/06/13,0.006,0.07,0.139,0.014,False,True,False,True,1.9690701218022615795247021521,1.9620865190167403542021329533,-0.0027643750203821719128008370,0.1051210547972134436995186551,-0.1454745631973398031719674348,-0.0403535084001263594724487797
05/15/13,0.024,0.02,0.119,0.005,True,True,True,True,1.9808296281677877632429267791,1.9499097949496270345824649021,-0.0322746401594454920129039675,0.1168805611627396274177432821,-0.1777492033567852951848714023,-0.0608686421940456677671281202
07/16/13,0.017,0.15,0.104,0.006,False,True,False,True,1.9521177453413895648016215093,1.9469266513210402439485497118,-0.0077001507043240959650214660,0.0881686783363414289764380123,-0.1854493540611093911498928683,-0.0972806757247679621734548560
07/29/13,0.024,0.02,0.119,0.005,True,True,True,True,1.9579520096451857786784284329,1.9404525368257873484120035449,-0.0160376803064173489324626366,0.0940029426401376428532449359,-0.2014870343675267400823555049,-0.1074840917273890972291105690
08/02/13,0.017,0.15,0.104,0.006,False,True,False,True,1.9521177453413895648016215093,1.9469266513210402439485497118,-0.0071328865333304021870340489,0.0881686783363414289764380123,-0.2086199209008571422693895538,-0.1204512425645157132929515415
08/15/13,0.022,0.01,0.120,0.004,True,True,True,True,1.9958778699700883440882125795,1.9935292355717774329847652830,-0.0003763619127637613599103367,0.1319288029650402082630290825,-0.2089962828136209036292998905,-0.0770674798485806953662708080
01/02/14,0.022,0.01,0.120,0.004,True,True,True,True,2.0557471510158399780751406841,2.0557471510158399780751406841,0.0000000000000000000000000000,0.1917980840107918422499571871,-0.2089962828136209036292998905,-0.0171981988028290613793427034
04/02/14,0.017,0.15,0.104,0.006,False,True,False,True,2.0758546846983728174749800930,2.0714128660104212674070896335,-0.0055688677713341639058561603,0.2119056176933246816497965960,-0.2145651505849550675351560508,-0.0026595328916303858853594548
