Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/03/17,0.021,0.03,0.184,0.010,False,False,False,True,1.7837771075606621823358612009,1.7837771075606621823358612009,0.0000000000000000000000000000,0.0000000000000000000000000000
01/16/17,0.026,0.03,0.125,0.004,False,False,False,True,1.7007329444079453921765631878,1.6726951747875529386383822093,-0.0280377696203924535381809785,-0.1110819327731092436974789916
01/17/17,0.021,0.03,0.184,0.010,False,False,False,True,1.6968548386530991571257771673,1.6729803048905999924782223130,-0.0238745337624991646475548543,-0.1388345722904546433958198664
02/08/17,0.014,0.06,0.084,0.016,True,False,False,True,1.7238374880909328882513093034,1.7220649226867126025039284278,-0.0017725654042202857473808756,-0.1136244882568411980176686059
02/09/17,0.021,0.03,0.184,0.010,False,False,False,True,1.7336195445354520983022477556,1.7109001167295685836350199767,-0.0227194278058835146672277789,-0.1265618596182055026339579326
02/10/17,0.014,0.06,0.084,0.016,True,False,False,True,1.7494181996463577632880631993,1.6992182840312504176299788480,-0.0501999156151073456580843513,-0.1609631201224071833062268402
02/16/17,0.026,0,0.084,0.011,False,False,False,True,1.7614471941468662520006622654,1.7323836665187221630167786398,-0.0290635276281440889838836256,-0.1779976532500427835775113997
02/20/17,0.014,0.06,0.084,0.016,True,False,False,True,1.7322667074543946776366616807,1.7322246740396276461025389410,-0.0000420334147670315341227397,-0.2072201733572813894756347241
03/24/17,0.027,0.01,0.134,0.002,False,False,False,True,1.7856444446025233546232736627,1.7742998667337763662821632675,-0.0113445778687469883411103952,-0.1651870140778997008301331373
04/07/17,0.014,0.06,0.084,0.016,True,False,False,True,1.8538077795435703346309240916,1.8494729297741242564674293400,-0.0043348497694460781634947516,-0.1013585289062987989859774600
04/13/17,0.013,0.05,0.085,0.016,True,False,False,True,1.9006878010631733283394200213,1.8995669969361111072851634524,-0.0011208041270622210542565689,-0.0555993115137580263317380992
04/18/17,0.014,0.06,0.084,0.016,True,False,False,True,1.8861473972121635572506568961,1.8858673590742230520963260986,-0.0002800381379405051543307975,-0.0704197535027083025748320219
04/20/17,0.013,0.05,0.085,0.016,True,False,False,True,1.8674453977482562012675968169,1.8660128216428053791968266684,-0.0014325761054508220707701485,-0.0905543290720664806286622496
05/17/17,0.039,0,0.198,0.013,False,True,True,True,1.8313746961645708969251125832,1.8141982195638243695204291588,-0.0171764766007465274046834244,-0.1438015072564983123758299077
05/23/17,0.040,0,0.088,0.008,False,True,False,True,1.8749636436061102671562444310,1.8712372391198973574062122396,-0.0037264044862129097500321914,-0.1039389643011718518947302513
06/14/17,0.020,0.11,0.075,0.002,True,True,False,True,1.8945957693925287782392662369,1.8853671745014444411789430438,-0.0092285948910843370603231931,-0.0935354334058376778720316385
06/19/17,0.039,0,0.198,0.013,False,True,True,True,1.8997595758896568075780335454,1.8914892085250741828181559922,-0.0082703673645826247598775532,-0.0966419942732922732931418832
11/06/17,0.013,0.05,0.085,0.016,True,False,False,True,2.2542943398431821427376514433,2.1996463048034282884984483508,-0.0546480350397538542392030925,0.2032447346404792076272729222
11/23/17,0.039,0,0.198,0.013,False,True,True,True,2.2260481739623067931713455470,2.2245887667622147400036871952,-0.0014594072000920531676583518,0.1735391615595118048933086741
11/24/17,0.013,0.05,0.085,0.016,True,False,False,True,2.2259031726507531206556325159,2.2248799496632413726105978835,-0.0010232229875117480450346324,0.1723709372604463843325610106
11/27/17,0.039,0,0.198,0.013,False,True,True,True,2.2300201365791292230778876031,2.2201197867411842457870731047,-0.0099003498379449772908144984,0.1665875513508775094640015994
11/28/17,0.013,0.05,0.085,0.016,True,False,False,True,2.2403616374246753078270310438,2.2120294823735217464423735844,-0.0283321550511535613846574594,0.1485968971452700328284875807
12/07/17,0.039,0,0.198,0.013,False,True,True,True,2.2318892954576338959750838648,2.2180167373195228367439605916,-0.0138725581381110592311232732,0.1262519970401175617454171285
12/08/17,0.013,0.05,0.085,0.016,True,False,False,True,2.2419389244909213646093654286,2.2106276132146432417694763882,-0.0313113112762781228398890404,0.1049903147971269075398096519
12/19/17,0.039,0,0.198,0.013,False,True,True,True,2.2328238748968862324236819956,2.2169652126086921322224043350,-0.0158586622881941002012776606,0.0800166029148976751528485583
12/21/17,0.013,0.05,0.085,0.016,True,False,False,True,2.2308979150271989671330247346,2.2204406973267927744797567620,-0.0104572177004061926532679726,0.0676334253448042172089233247
12/25/17,0.039,0,0.198,0.013,False,True,True,True,2.2325902300370731483115324629,2.2172280937863998083527933992,-0.0153621362506733399587390637,0.0539636041040050584286919893
12/26/17,0.013,0.05,0.085,0.016,True,False,False,True,2.2280062220724145296987450290,2.2230107907847366997134016218,-0.0049954312876778299853434072,0.0443841648516686098305611482
12/27/17,0.039,0,0.198,0.013,False,True,True,True,2.2260481739623067931713455470,2.2245887667622147400036871952,-0.0014594072000920531676583518,0.0409667095414688201355033144
01/02/18,0.013,0.05,0.085,0.016,True,False,False,True,2.2429904492017520691309216852,2.2096930337753909053208782573,-0.0332974154263611638100434279,0.0246115693545529322850360247
01/05/18,0.039,0,0.198,0.013,False,True,True,True,2.2295528468595030548535885377,2.2206455490965995980478512330,-0.0089072977629034568057373047,0.0022666692494004612019655725
01/08/18,0.013,0.05,0.085,0.016,True,False,False,True,2.2264289350061684729164106442,2.2244126599436152043862988181,-0.0020162750625532685301118261,-0.0028735176664873892653241471
