Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta
01/02/18,0.026,0.03,0.086,0.001,True,False,False,False,2.3689731889362629899440052583,2.3689731889362629899440052583,0.0000000000000000000000000000
03/23/18,0.013,0.05,0.083,0.016,True,False,False,False,2.3626883618837215392894589132,2.3522381188509019843509357817,-0.0104502430328195549385231315
03/26/18,0.026,0.03,0.086,0.001,True,False,False,False,2.3584576970012535257246513036,2.3427921287041772202500723411,-0.0156655682970763054745789625
03/30/18,0.013,0.05,0.083,0.016,True,False,False,False,2.3447039072943420184503239920,2.3008589950001718599593727747,-0.0438449122941701584909512173
04/10/18,0.026,0.03,0.086,0.001,True,False,False,False,2.3260643371630249838672783278,2.2824668405898890178619457295,-0.0435974965731359660053325983
04/19/18,0.023,0.06,0.190,0.010,False,False,False,True,2.3064280928221853507402403760,2.3020621796657218554961887917,-0.0043659131564634952440515843
04/20/18,0.026,0.03,0.086,0.001,True,False,False,False,2.3109618560411263862405253613,2.2970237041074518084204911597,-0.0139381519336745778200342016
04/23/18,0.023,0.06,0.190,0.010,False,False,False,True,2.3235269813944281549579662238,2.2858809498922590723246677561,-0.0376460315021690826332984677
05/03/18,0.012,0.04,0.082,0.019,False,False,False,False,2.3649724453396236051447425839,2.3397709255380588189648057792,-0.0252015198015647861799368047
05/15/18,0.023,0.06,0.190,0.010,False,False,False,True,2.3565848326340975764455695296,2.3493928308690664358814735055,-0.0071920017650311405640960241
05/21/18,0.013,0.05,0.083,0.016,True,False,False,False,2.3625074668437590340200276619,2.3449005921097316602301235336,-0.0176068747340273737899041283
05/29/18,0.023,0.06,0.190,0.010,False,False,False,True,2.3722588138253201469784848901,2.3374487354420362462361592203,-0.0348100783832839007423256698
06/24/18,0.023,0.06,0.190,0.010,False,False,False,True,2.3776734618731970349807647419,2.3776734618731970349807647419,0
