Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/05/15,0.023,0,0.195,0.024,False,True,True,False,0.7916737316416507661139014351,0.7916737316416507661139014351,0.0000000000000000000000000000,0.0000000000000000000000000000
01/26/15,0.011,0,0.179,0.029,False,True,False,False,0.7821671473256502314277374824,0.7735173070606451795217226641,-0.0086498402650050519060148183,-0.0181564245810055865921787710
01/27/15,0.023,0,0.195,0.024,False,True,True,False,0.7846904914181870789630634463,0.7715359180897698327566411369,-0.0131545733284172462064223094,-0.0287876538168859852632751165
03/05/15,0.011,0,0.179,0.029,False,True,False,False,0.7901405692525605304310597416,0.7651374187924887549407170775,-0.0250031504600717754903426641,-0.0483407264425843092856214853
03/11/15,0.010,0,0.168,0.029,False,False,False,False,0.7811248505600850374851053700,0.7808382436711651815938504392,-0.0002866068889198558912549308,-0.0576430520239796581228307877
03/17/15,0.011,0,0.179,0.029,False,True,False,False,0.7861538582891053809293986120,0.7755068730319951498446559318,-0.0106469852571102310847426802,-0.0632610295520695457632802259
04/24/15,0.009,0.02,0.187,0.021,True,False,False,False,0.8654511432087261716200270940,0.8432967154319625237865414691,-0.0221544277767636478334856249,-0.0061181724092124029061373688
04/29/15,0.011,0,0.179,0.029,False,True,False,False,0.8565857519768130221254119010,0.8502420177334410005173654970,-0.0063437342433720216080464040,-0.0213272978844975740087989658
04/30/15,0.009,0.02,0.187,0.021,True,False,False,False,0.8578465804710835860686962955,0.8499412337043877729559766851,-0.0079053467666958131127196104,-0.0279718161569228231782341817
05/04/15,0.011,0,0.179,0.029,False,True,False,False,0.8446256190864475736204285123,0.8041894161033915971224505742,-0.0404362029830559764979779381,-0.0816289805246148121244799030
05/08/15,0.005,0,0.187,0.018,True,False,False,False,0.8321145378363948359331089460,0.8220342569602017264443487781,-0.0100802808761931094887601679,-0.1042203426508606593005596372
05/11/15,0.011,0,0.179,0.029,False,True,False,False,0.8286787752326269756137839941,0.8244692778975569154438123099,-0.0042094973350700601699716842,-0.1118656025896985797898562733
05/29/15,0.005,0,0.187,0.018,True,False,False,False,0.8321145378363948359331089460,0.8220342569602017264443487781,-0.0100802808761931094887601679,-0.1185101208621238289592914893
06/05/15,0.011,0,0.179,0.029,False,True,False,False,0.8300076788871120254476710373,0.8229402259097893313459529827,-0.0070674529773226941017180546,-0.1276844327887293335464474526
06/10/15,0.005,0,0.187,0.018,True,False,False,False,0.8443469537385355087159835637,0.8114030277243213277732524326,-0.0329439260142141809427311311,-0.1462890839515200312208660573
06/17/15,0.011,0,0.179,0.029,False,True,False,False,0.8393100044685073742848803396,0.8122368619954162426609376922,-0.0270731424730911316239426474,-0.1783991756946392972759119288
07/02/15,0.005,0,0.187,0.018,True,False,False,False,0.8290564338608596677373902915,0.8246920642691718261121228645,-0.0043643695916878416252674270,-0.1930171158939748454486694039
07/03/15,0.011,0,0.179,0.029,False,True,False,False,0.8406389081229924241187673828,0.8107078100076486585630783649,-0.0299310981153437655556890179,-0.2113657397471858546229813305
07/09/15,0.004,0,0.191,0.012,True,False,False,False,0.9281544897331331840632788225,0.8831638250665140188031527648,-0.0449906646666191652601260577,-0.1688408228036642599385959485
09/07/15,0.023,0,0.195,0.024,False,True,True,False,0.9904655177126283765851857319,0.9378506088342862204284200755,-0.0526149088783421561567656564,-0.1591447037025112235734546955
09/08/15,0.010,0,0.168,0.029,False,False,False,False,0.9932998005861109366490323835,0.9780321251726639005638713447,-0.0152676754134470360851610388,-0.1715780962424756995947690827
09/09/15,0.023,0,0.195,0.024,False,True,True,False,0.9869131198440670977219530499,0.9853380171466204907891597720,-0.0015751026974466069327932779,-0.1795398796819661454546416942
09/11/15,0.010,0,0.168,0.029,False,False,False,False,0.9932998005861109366490323835,0.9780321251726639005638713447,-0.0152676754134470360851610388,-0.1884208743533693426127233994
