Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Gain,TotalDelta,Profit
01/03/17,0.009,0.05,0.191,0.023,False,True,False,False,2.4575786721471753191224417254,2.4575786721471753191224417254,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000
01/16/17,0.010,0.03,0.189,0.010,False,False,False,False,2.3846004809241416626767112685,2.3276382449359496225598315665,-0.0563192186521618049364777039,-0.0729781912230336564457304569,-0.0563192186521618049364777039,-0.1292974098751954613822081608
01/19/17,0,0.03,0.188,0.025,False,False,False,True,2.3609353371036839468558617562,2.3084139696835088566817071053,-0.1257968154772368431397276039,-0.0966433350434913722665799692,-0.1821160341293986480762053078,-0.2787593691728900203427852770
02/20/17,0.010,0.01,0.150,0.006,True,True,True,True,2.3888686626426396581490653894,2.3156391698562971872739802231,-0.0922204968063524594946088238,-0.0687100095045356609733763360,-0.2743365309357511075708141316,-0.3430465404402867685441904676
03/06/17,0.012,0.04,0.098,0.015,False,True,False,False,2.4506609343591870612933772940,2.4436194455914814482896267617,-0.0109518192862399672408574966,-0.0069177377879882578290644314,-0.2852883502219910748116716282,-0.2922060880099793326407360596
06/01/17,0.012,0.02,0.150,0.006,True,True,True,True,2.5651793927776221131575690722,2.5472283049449205466422570170,-0.0180460750902040369995269613,0.1076007206304467940351273468,-0.3033344253121951118111985895,-0.1957337046817483177760712427
06/02/17,0.012,0.04,0.098,0.015,False,True,False,False,2.5578773921660158813278553942,2.5536274359625074033060171154,-0.0075102017463717213227884230,0.1002987200188405622054136688,-0.3108446270585668331339870125,-0.2105459070397262709285733437
06/06/17,0.012,0.02,0.150,0.006,True,True,True,True,2.5342135784631383092870058152,2.5284656274601335283866789237,-0.0064150503944855111234506238,0.0766349063159629901645640898,-0.3172596774530523442574376363,-0.2406247711370893540928735465
06/13/17,0.012,0.04,0.098,0.015,False,True,False,False,2.5259301305027298772710602624,2.4929747905843504304991270273,-0.0506179522485779838670220544,0.0683514583555545581486185370,-0.3678776297016303281244596907,-0.2995261713460757699758411537
06/23/17,0.012,0.02,0.150,0.006,True,True,True,True,2.4908736318696740262711338275,2.5015885727756937661546335980,0.0121304719443831168252814871,0.0332949597224987071486921021,-0.3557471577572472112991782036,-0.3224521980347485041504861015
07/03/17,0.014,0,0.168,0.029,False,False,False,False,2.5863735950290912788096449527,2.5540365959948620759993269812,-0.0097057444905396729810636219,0.1287949228819159596872032273,-0.3654529022477868842802418255,-0.2366579793658709245930385982
07/04/17,0.012,0.01,0.150,0.006,True,True,True,True,2.5439820673297688280233994746,2.5426988962339105559180786877,-0.0069652594492719267237946825,0.0864033951825935089009577492,-0.3724181616970588110040365080,-0.2860147665144653021030787588
07/13/17,0.014,0,0.168,0.029,False,False,False,False,2.5617752014547940900546248724,2.6097182222149556807924224372,0.0478347811560901948435497044,0.1041965293076187709321831470,-0.3245833805409686161604868036,-0.2203868512333498452283036566
07/19/17,0.012,0.01,0.150,0.006,True,True,True,True,2.6443872902023487469788249586,2.6536314769371122044394677094,0.0087483770394310246225818173,0.1868086180551734278563832332,-0.3158350035015375915379049863,-0.1290263854463641636815217531
07/24/17,0.014,0,0.168,0.029,False,False,False,False,2.6436314769371122044394677094,2.6404854901971137458712409316,-0.0034046408625647724320710219,0.1860528047899368853170259840,-0.3192396443641023639699760082,-0.1331868395741654786529500242
08/18/17,0,0.03,0.188,0.025,False,False,False,True,2.8065149859628590141153110615,2.8004308753558127888327299988,0.0054596597625783492741123761,0.3489363138156836949928693361,-0.3137799846015240146958636321,0.0351563292141596802970057040
08/21/17,0.014,0,0.168,0.029,False,False,False,False,2.8037273660830124206008837706,2.7812274126894600419880134401,-0.0192550518192056513527901061,0.3461486939358371014784420452,-0.3330350364207296660486537382,0.0131136575151074354297883070
09/05/17,0.014,0,0.168,0.029,False,False,False,True,2.8225872328785787037283966927,2.8018369848234609202523437637,-0.0225943167651211516134729357,0.3650085607314033846059549673,-0.3556293531858508176621266739,0.0093792075455525669438282934
09/21/17,0.014,0,0.168,0.029,False,False,False,False,2.8752623805796077710438560574,2.8968204919878186657040639582,0.0213981114082108946602079008,0.4176837084324324519214143320,-0.3342312417776399230019187731,0.0834524666547925289194955589
10/13/17,0.014,0,0.168,0.029,False,False,False,True,2.9429780618013588073274503897,2.9297740736832142856368778313,-0.0129589931566854211369437380,0.4853993896541834882050086643,-0.3471902349343253441388625111,0.1382091547198581440661461532
10/31/17,0.010,0.03,0.189,0.010,False,False,False,False,2.8545511814768910902888518796,2.8420787337452730648161374603,-0.0149792064547138300037907108,0.3969725093297157711664101542,-0.3621694413890391741426532219,0.0348030679406765970237569323
11/08/17,0.015,0,0.167,0.028,False,False,False,False,2.8166851985959151534495897345,2.7535995885931509165197165879,-0.1260169175059431542180844719,0.3591065264487398343271480091,-0.4881863588949823283607376938,-0.1290798324462424940335896847
11/24/17,0.014,0,0.168,0.029,False,False,False,True,2.9716489188171361850680734236,2.9668656616507916115572841435,-0.0043017458532532977638605636,0.5140702466699608659456316982,-0.4924881047482356261245982574,0.0215821419217252398210334408
12/06/17,0.015,0,0.167,0.028,False,False,False,False,2.9782855322255917638222251409,2.9599797057878244946220579582,-0.0178101474928406430643345886,0.5207068600784164446997834155,-0.5102982522410762691889328460,0.0104086078373401755108505695
