Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,
4/24/2017 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,FALSE,1.474132865,1.474132865,0,
9/4/2017 0:00,0.022,0.03,0.065,0.023,FALSE,TRUE,TRUE,FALSE,1.664242576,1.653268001,-0.010974575,
11/24/2017 0:00,0.025,0.03,0.065,0.023,FALSE,TRUE,TRUE,FALSE,1.849870706,1.818537579,-0.031333126,
11/27/2017 0:00,0.022,0.03,0.065,0.023,FALSE,TRUE,TRUE,FALSE,1.847827581,1.819853735,-0.027973846,-0.070281548
1/12/2018 0:00,0.025,0.03,0.042,0.013,FALSE,FALSE,FALSE,FALSE,1.841736702,1.814509579,-0.027227123,
1/30/2018 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,FALSE,1.914298222,1.890830173,-0.023468049,
2/2/2018 0:00,0.025,0.03,0.042,0.013,FALSE,FALSE,FALSE,FALSE,1.911331979,1.90711156,-0.004220419,
2/5/2018 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,FALSE,1.929533944,1.888487109,-0.041046835,
6/8/2018 0:00,0.033,0.07,0.032,0.028,FALSE,FALSE,FALSE,FALSE,1.984896287,1.980993487,-0.0039028,
6/11/2018 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,FALSE,1.988446693,1.977458829,-0.010987864,
6/12/2018 0:00,0.033,0.07,0.032,0.028,FALSE,FALSE,FALSE,FALSE,1.982614339,1.977716871,-0.004897468,
6/15/2018 0:00,0.03,0.04,0.033,0.028,FALSE,FALSE,FALSE,FALSE,1.977716871,1.977543345,-0.000173526,
6/19/2018 0:00,0.033,0.07,0.032,0.028,FALSE,FALSE,FALSE,FALSE,2.000616368,1.982338272,-0.018278096,
6/23/2018 0:00,0.033,0.07,0.032,0.028,FALSE,FALSE,FALSE,FALSE,2.029029369,2.029029369,0,-0.038239753
,,,,,,,,,,,-0.134202179,
