Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Gain,TotalDelta,Profit
01/03/17,0.021,0.01,0.047,0.008,False,True,True,False,1.7019512591168607951927946535,1.7019512591168607951927946535,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000
01/25/17,0.026,0.01,0.128,0.011,False,False,False,False,1.7792341093231356685267622546,1.7591242478369697104630633406,-0.0198796383937085862247269722,0.0772828502062748733339676011,-0.0198796383937085862247269722,0.0574032118125662871092406289
04/14/17,0.031,0,0.123,0.011,False,False,False,False,1.7988464712707830116593761072,1.7855272082473122145953479404,-0.0226538165616999216689163370,0.0968952121539222164665814537,-0.0425334549554085078936433092,0.0543617571985137085729381445
05/23/17,0.021,0.01,0.047,0.008,False,True,True,False,1.7613561064117657223467581380,1.7574126924129458306144186346,0.0330380991501031729328122880,0.0594048472949049271539634845,-0.0094953558053053349608310212,0.0499094914895995921931324633
05/24/17,0.031,0,0.123,0.011,False,False,False,False,1.7655536401650721975646008946,1.7529071782907064537465059312,-0.0123112416990467696225596062,0.0636023810482114023718062411,-0.0218065975043521045833906274,0.0417957835438592977884156137
05/25/17,0.026,0.01,0.128,0.011,False,False,False,False,1.7626451940593075874159214643,1.7569266656814755997517211862,0.0222392827745382441564399836,0.0606939349424467922231268108,0.0004326852701861395730493562,0.0611266202126329317961761670
06/01/17,0.031,0,0.123,0.011,False,False,False,False,1.7789193752805035462887807245,1.7399947122672915693956486574,-0.0686823589630753788095955004,0.0769681161636427510959860710,-0.0682496736928892392365461442,0.0087184424707535118594399268
06/07/17,0.025,0.09,0.049,0.009,False,True,True,False,1.8056300918683154789946464582,1.8041927653169555511490480392,0.0097528271188566399479831691,0.1036788327514546838018518047,-0.0584968465740325992885629751,0.0451819861774220845132888296
06/13/17,0.031,0,0.123,0.011,False,False,False,False,1.8050433120970284551587685738,1.8047150591885769169031431902,0.0030429060111713939468222216,0.1030920529801676599659739203,-0.0554539405628612053417407535,0.0476381124173064546242331668
06/14/17,0.025,0.09,0.049,0.009,False,True,True,False,1.8088980657245246293214438438,1.8011550982452666082571889870,0.0097528271188566399479831692,0.1069468066076638341286491903,-0.0457011134440045653937575843,0.0612456931636592687348916060
06/15/17,0.031,0,0.123,0.011,False,False,False,False,1.8120906997033468026678815750,1.7971333598421716881449732556,-0.0125950834900158772354457443,0.1101394405864860074750869215,-0.0582961969340204426292033286,0.0518432436524655648458835929
06/19/17,0.025,0.09,0.049,0.009,False,True,True,False,1.8073294382735442371645810987,1.8026131784396773008452813320,0.0097528271188566399479831691,0.1053781791566834419717864452,-0.0485433698151638026812201595,0.0568348093415196392905662857
06/20/17,0.031,0,0.123,0.011,False,False,False,False,1.8082024858515849557663019882,1.8013163663781194005632739092,-0.0224318833375369026565497874,0.1062512267347241605735073347,-0.0709752531527007053377699469,0.0352759735820234552357373878
07/06/17,0.025,0.09,0.049,0.009,False,True,True,False,1.8473294382735442371645810987,1.7654321334822046398489265325,-0.0760038895005574278257443858,0.1453781791566834419717864452,-0.1469791426532581331635143327,-0.0016009634965746911917278875
08/21/17,0.026,0.01,0.128,0.011,False,False,False,False,1.8337485352702578538167643112,1.8324873470208697962416442235,0.0021881397558449736830619362,0.1317972761533970586239696577,-0.1447910028974131594804523965,-0.0129937267440161008564827388
08/23/17,0.025,0.09,0.049,0.009,False,True,True,False,1.8375369547151244153254204827,1.8150022101943189421280065524,-0.0414219494712267063294500147,0.1355856955982636201326258292,-0.1862129523686398658099024112,-0.0506272567703762456772765820
01/02/18,0.025,0.09,0.049,0.009,False,True,True,False,2.0877999288935411065044749890,2.0877999288935411065044749890,0.0000000000000000000000000000,0.3858486697766803113116803355,-0.1862129523686398658099024112,0.1996357174080404455017779243
03/02/18,0.025,0.09,0.049,0.007,False,True,True,False,2.0600651432665856436309108490,2.0583777236208986095968449151,0.0174382562634677059002483879,0.3581138841497248484381161955,-0.1687746961051721599096540233,0.1893391880445526885284621722
03/08/18,0.025,0.09,0.049,0.009,False,True,True,False,2.0898195239870017645446213768,2.0282325912116417866593639178,-0.0675976434444293933709483207,0.3878682648701409693518267233,-0.2363723395496015532806023440,0.1514959253205394160712243793
03/29/18,0.025,0.09,0.049,0.007,False,True,True,False,2.0793052221896588252136564829,2.0662968996636171794545645955,-0.0131683225260416457590918874,0.3773539630727980300208618294,-0.2495406620756431990396942314,0.1278133009971548309811675980
06/19/18,0.021,0.04,0.103,0.020,False,True,True,True,2.0213780296706158261537861163,2.0207383489823978276679275283,-0.0004778268098787644980890354,0.3194267705537550309609914628,-0.2500184888855219635377832668,0.0694082816682330674232081960
06/20/18,0.025,0.09,0.049,0.007,False,True,True,False,2.0207383489823978276679275283,2.0205197526617112021864006427,-0.0025242888429481853999905698,0.3187870898655370324751328748,-0.2525427777284701489377738366,0.0662443121370668835373590382
06/21/18,0.021,0.04,0.103,0.020,False,True,True,True,2.0279223918635135839051003530,2.0201868378418727890621476915,-0.0037614037914971662184487819,0.3259711327466527887123056995,-0.2563041815199673151562226185,0.0696669512266854735560830810
07/23/18,0.025,0.09,0.049,0.007,False,True,True,False,2.0605574533283056150052317418,1.9886562187061270373972149330,-0.0916440515018062921451404490,0.3586061942114448198124370883,-0.3479482330217736073013630675,0.0106579611896712125110740208
