Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Profit
01/04/16,0.007,0.02,0.184,0.021,False,False,False,False,1.0967873699155033633176748928,1.0967873699155033633176748928,0.0000000000000000000000000000,0.0000000000000000000000000000
01/05/16,0.002,0.08,0.174,0.016,False,False,False,False,1.0988558241263071075719133480,1.0821628119918171667940025946,-0.0166930121344899407779107534,-0.0146245579236861965236722982
01/18/16,0.002,0.07,0.184,0.016,False,False,False,False,1.1477808066965395828759012463,1.1508558241263071075719133480,0.0030750174297675246960121017,0.0373754420763138034763277018
02/15/16,0.002,0.08,0.174,0.016,False,False,False,False,1.1045701098405928218576276337,1.1013624685876570613859298996,-0.0032076412529357604716977341,-0.0090428960325687180136436449
02/16/16,0,0.01,0.180,0.014,False,False,False,False,1.1155375243717459215192088157,1.1159986812691642504290562051,0.0004611568974183289098473894,0.0023856753960027105577849265
02/17/16,0.002,0.08,0.174,0.016,False,False,False,False,1.1085701098405928218576276337,1.1218482039833964069561020196,0.0132780941428035850984743859,0.0086963550076531959946781304
02/22/16,0.002,0.07,0.184,0.016,False,False,False,False,1.1219928410804937376036949426,1.1251415384120213932861990623,0.0031486973315276556825041197,0.0252677835790817674232495590
02/24/16,0.002,0.08,0.174,0.016,False,False,False,False,1.0994272526977356790004847766,1.0962048754644478923314886389,-0.0032223772332877866689961377,-0.0005201820369640778489567447
03/07/16,0.002,0.07,0.184,0.016,False,False,False,False,1.1426232135733304138214599856,1.1457129669834499647147704909,0.0030897534101195508933105053,0.0457655322487502078653289696
03/10/16,0.002,0.08,0.174,0.016,False,False,False,False,1.1068558241263071075719133480,1.1036547321979722476323482377,-0.0032010919283348599395651103,0.0067970508733920416762172217
03/11/16,0,0.01,0.180,0.014,False,False,False,False,1.1145666505853381545289175536,1.1171415384120213932861990623,0.0025748878266832387572815087,0.0170827651591063273905029360
03/15/16,0.002,0.08,0.174,0.016,False,False,False,False,1.1074272526977356790004847766,1.1228190777698041739463932817,0.0153918250720684949459085051,0.0253351923435723468079786641
03/18/16,0.002,0.07,0.184,0.016,False,False,False,False,1.1277235001062817032197407879,1.1308558241263071075719133480,0.0031323240200254043521725601,0.0487637637721437753794072355
04/05/16,0.016,0.07,0.166,0.018,False,True,False,False,1.1090734330957299654983942044,1.0967779413670266888930932234,-0.0122954917287032766053009810,0.0178182050328887610527596710
04/06/16,0.002,0.07,0.184,0.016,False,False,False,False,1.1368925545475424482054141403,1.0743167300172791214070337277,-0.0625758245302633267983804126,-0.0169384980455620830386008057
04/18/16,0.007,0.02,0.184,0.021,False,False,False,False,1.2084080015663856987626301451,1.1645167274583504935243727673,-0.0438912741080352052382573778,0.0106856748652459622803578213
04/21/16,0.003,0.08,0.184,0.016,False,False,False,False,1.2889017004706347047919599746,1.2112635414324291478040177356,-0.0776381590382055569879422390,0.0135412147312894113217454118
04/22/16,0.003,0.07,0.188,0.021,False,False,False,False,1.3025373512035531714042727790,1.2983105175359223583149076151,-0.0042268336676308130893651639,0.0229500317965770648446930523
04/27/16,0.003,0.08,0.184,0.016,False,False,False,False,1.2734236397078680596723736785,1.2777066514292868057157851943,0.0042830117214187460434115158,-0.0018806679776893008437945324
04/29/16,0.002,0.08,0.184,0.016,False,False,False,False,1.2953962567607070975551584507,1.2919756759069630822968080676,-0.0034205808537440152583503831,0.0166713682214057217806398567
05/09/16,0.003,0.08,0.184,0.016,False,False,False,False,1.2240128687485204912461752914,1.2290554807897610203935233426,0.0050426120412405291473480512,-0.0496694077495403553809952514
05/11/16,0.003,0.07,0.188,0.021,False,False,False,False,1.2038150162213239908525105039,1.1995548141146171194498565602,-0.0042602021067068714026539437,-0.0741274623834437271773139826
05/16/16,0.003,0.08,0.184,0.016,False,False,False,False,1.2220561348243586416871459348,1.1942056903600296256211373985,-0.0278504444643290160660085363,-0.0837367882447380924086870880
05/25/16,0.002,0.08,0.184,0.016,False,False,False,False,1.1938491933366819097977929611,1.1879354237795051285940684135,-0.0059137695571767812037245476,-0.1178574992895916055017646093
06/27/16,0.003,0.08,0.184,0.016,False,False,False,False,1.4062624727897303816630521637,1.3167802308017795399427539679,-0.0894822419879508417202981958,0.0050735381755060246431963975
07/07/16,0.003,0.07,0.188,0.021,False,False,False,False,1.3925787565454938176301460452,1.3650096080074538346806228283,-0.0275691485380399829495232169,-0.0361793266067705223392329379
