Date,StopLoss,StopProfit,StartProfit,OpenCriteria,FollowTrend,NotUseClosePrice,OnlyUseClosePrice,CloseAmbiguousStateToday,Result,PreviousResult,Delta,Gain,TotalDelta,Profit
01/03/17,0.030,0.09,0.042,0.011,False,False,False,True,1.4324802211547330020063859472,1.4324802211547330020063859472,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000,0.0000000000000000000000000000
01/25/17,0.020,0.02,0.025,0.006,False,True,True,True,1.3953566090124392762137505763,1.3891975118158341017400069780,-0.0062369796186387245202325145,-0.0371236121422937257926353709,-0.0062369796186387245202325145,-0.0433605917609324503128678854
02/22/17,0.031,0.07,0.033,0.028,False,False,False,False,1.4289570424761351353644773760,1.4109327218976570985337831348,-0.0192375751974788021089275417,-0.0035231786785978666419085712,-0.0254745548161175266291600562,-0.0289977334947153932710686274
03/08/17,0.020,0.02,0.025,0.006,False,True,True,True,1.4806084172401228519584406690,1.4468864182277476859275035048,-0.0338451619627249326285640529,0.0481281960853898499520547218,-0.0593197167788424592577241091,-0.0111915206934526093056693873
03/09/17,0.031,0.07,0.033,0.028,False,False,False,False,1.4902886266020780674733655360,1.4380478142637303343563704600,-0.0572665408111291848582285918,0.0578084054473450654669795888,-0.1165862575899716441159527009,-0.0587778521426265786489731121
03/31/17,0.021,0.02,0.044,0.008,False,True,True,True,1.5015808452260634969427377679,1.4405055207974994081441650580,-0.0981170871860190952278484055,0.0691006240713304949363518207,-0.2147033447759907393438011064,-0.1456027207046602444074492857
06/23/17,0.030,0.04,0.033,0.028,False,False,False,False,1.6475734042643075473321090250,1.5949517774606137105574144163,-0.0500308479999009875215135262,0.2150931831095745453257230778,-0.2647341927758917268653146326,-0.0496410096663171815395915548
07/14/17,0.021,0.02,0.044,0.008,False,True,True,True,1.6501911813903535890801682128,1.6305796463593001392108808428,-0.0491176883428367471396991938,0.2177109602356205870737822656,-0.3138518811187284740050138264,-0.0961409208831078869312315608
08/09/17,0.030,0.03,0.038,0.013,False,False,False,True,1.6862906522267035493920267215,1.6662183223613595507738844290,-0.0211573491525658931986871261,0.2538104310719705473856407743,-0.3350092302712943672037009525,-0.0811987991993238198180601782
08/21/17,0.021,0.02,0.044,0.008,False,True,True,True,1.7035528879988799571904934435,1.6593723171217330740109439464,-0.0445165496691043925215836977,0.2710726668441469551841074963,-0.3795257799403987597252846502,-0.1084531130962518045411771539
11/02/17,0.022,0.03,0.065,0.023,False,True,True,False,1.8928376200392485220609046734,1.8624720401499608157322180253,-0.0302549707110688566980568836,0.4603573988845155200545187262,-0.4097807506514676164233415338,0.0505766482330479036311771924
01/11/18,0.025,0.02,0.042,0.013,False,False,False,True,1.8579845999433293148457602465,1.8332974575101551817684924738,-0.0247497381306932441631184647,0.4255043787885963128393742993,-0.4345304887821608605864599985,-0.0090261099935645477470856992
01/30/18,0.030,0.03,0.038,0.013,False,False,False,True,1.9309041762838184108695376873,1.9225064914308015905307939680,-0.0064095974632122975330710478,0.4984239551290854088631517401,-0.4409400862453731581195310463,0.0574838688837122507436206938
03/01/18,0.030,0.04,0.033,0.028,False,False,False,False,1.9852868002259080566620076843,1.9744113176337598654796425772,-0.0397811154028507399122874686,0.5528065790711750546556217371,-0.4807212016482238980318185149,0.0720853774229511566238032222
03/23/18,0.027,0.07,0.053,0.013,False,True,False,True,2.0144280073375770201448099988,1.9856369981957937259374766966,-0.0288985642664842349508756990,0.5819477861828440181384240516,-0.5096197659147081329826942139,0.0723280202681358851557298377
06/29/18,0.033,0.07,0.032,0.028,False,False,False,False,2.0350253131000296584350940233,2.0174469823613219249900473360,-0.0124757417744806838839705081,0.6025450919452966564287080761,-0.5220955076891888168666647220,0.0804495842561078395620433541
07/11/18,0.027,0.07,0.053,0.013,False,True,False,True,2.0481941564177817168351816914,2.0349566470657949901962666485,-0.0620619363613693798120026593,0.6157139352630487148287957442,-0.5841574440505581966786673813,0.0315564912124905181501283629
07/26/18,0.029,0,0.053,0.013,False,True,False,True,2.0164141647724880905344069424,2.0146014095039573062107318289,0.0002620321114417808340752294,0.5839339436177550885280209952,-0.5838954119391164158445921519,0.0000385316786386726834288433
08/08/18,0.033,0.07,0.032,0.028,False,False,False,False,2.0465147111678553375527578906,2.0419285680646691604932546790,-0.0047238167460001116803963061,0.6140344900131223355463719434,-0.5886192286851165275249884580,0.0254152613280058080213834854
08/19/18,0.033,0.07,0.032,0.028,False,False,False,False,2.0866206912977710427928925545,2.0866206912977710427928925545,0,0.6541404701430380407865066073,-0.5886192286851165275249884580,0.0655212414579215132615181493
